year,ege_budg,total_income
2014,61.73,531002.0
2015,65.16,556451.4
2016,69.02,491270.5
2017,69.91,480340.8
2013,65.82,1928515.186
2014,63.48,2239259.9
2015,64.77,1840044.4
2016,66.78,1508563.0
2017,66.76,1531542.1
2013,67.67,187219.928
2014,60.64,183398.7
2015,59.44,166621.4
2016,0.0,151327.4
2017,0.0,144177.6
2013,67.26,1105815.6735
2014,63.52,903912.5
2013,71.05,821579.2640000001
2014,65.01,818274.1
2015,67.39,823882.6
2016,67.53,1785736.9
2017,67.14,1723550.9
2013,66.43,443368.1205
2014,61.54,451692.4
2015,58.15,438356.4
2016,55.85,403985.6
2017,57.11,429899.1
2013,70.0,1760990.6799999997
2014,64.96,1807685.3
2015,65.9,1798406.6
2016,67.65,1865583.1
2017,69.56,1977714.1
2013,65.79,449698.87200000003
2014,61.99,503560.5
2015,64.19,449572.8
2016,63.06,470556.8
2017,64.29,487698.9
2013,63.96,643017.1745
2014,65.54,676582.4
2015,65.76,521458.0
2016,69.18,521668.8
2017,72.7,524072.4
2013,65.12,4307846.76
2014,64.15,4334054.8
2015,65.07,4025042.3
2016,65.3,3200057.6
2017,69.29,3274000.8
2013,74.24,1620486.867
2014,72.07,2121741.0
2015,73.18,1646618.0
2016,72.51,1804693.6
2017,73.33,1792467.2
2013,67.09,1966464.1870000002
2014,64.93,2012322.9
2015,66.38,1900303.0
2016,67.45,1861376.7
2017,66.28,1611555.7
2013,68.13,477943.88100000005
2014,67.39,552719.7
2015,69.0,558754.6
2016,72.32,608842.5
2017,72.22,659115.7
2013,70.84,378446.60000000003
2014,74.67,341780.2
2015,64.85,284886.5
2016,68.6,235479.6
2017,67.47,206906.2
2013,0.0,36489.5
2014,0.0,53116.6
2015,0.0,37541.1
2016,0.0,34383.4
2017,0.0,56852.1
2013,77.91,627494.5599999999
2014,66.73,629955.8
2015,72.16,639634.3
2016,71.36,597443.5
2017,73.95,558072.0
2013,87.91,2823475.158
2014,84.41,4184149.3
2015,83.54,5757431.6
2016,84.48,5196713.9
2017,87.88,6098734.2
2013,60.34,474843.53700000007
2014,59.78,552413.0
2016,66.0,668522.5
2017,61.14,811486.9
2013,63.89,524830.8820000001
2014,63.15,542683.6
2015,66.17,644193.5
2016,67.29,684755.3
2017,61.78,712003.1
2013,83.41,1810529.084
2014,79.66,1956639.3
2015,80.56,1819253.9
2016,81.18,1923090.7
2017,83.15,2226393.0
2013,73.93,1332021.5335000001
2014,71.79,2288672.4
2015,75.33,2282632.7
2016,75.55,2421234.4
2017,74.75,2584825.5
2013,64.15,818819.3025
2014,63.71,883710.1
2015,67.15,776862.5
2016,68.69,704743.2
2017,68.69,807721.9
2013,71.09,1848330.4395
2014,65.41,1790056.7
2015,68.41,1907586.7
2016,67.47,1884802.9
2017,70.16,2164052.2
2013,69.95,2210710.4699999997
2014,71.02,2618833.9
2015,71.81,2427051.9
2016,72.68,1722550.3
2017,72.32,1723440.7
2013,85.52,3252370.59
2014,79.95,3979740.4
2015,82.68,3876652.1
2016,82.03,4094734.5
2017,82.71,4299321.6
2013,69.3,728810.376
2014,72.19,654657.4
2015,71.74,641603.3
2016,71.94,589523.7
2017,75.33,591132.6
2013,77.77,5465252.8525
2014,76.13,6123236.4
2015,76.22,7753662.3
2016,77.88,8132361.1
2017,79.6,9071005.5
2013,78.68,860155.1155000001
2014,74.0,1558729.0
2015,75.81,1593475.8
2016,77.11,1805775.6
2017,77.48,1989004.3
2013,67.34,836499.7579999999
2014,66.16,937563.0
2013,76.7,705269.612
2014,70.97,805936.0
2015,74.05,845505.9
2016,72.73,891624.8
2017,68.67,903092.5
2013,59.99,365360.916
2014,54.16,432080.7
2015,57.79,392460.3
2016,59.6,401884.3
2017,55.29,443794.9
2013,68.1,1072553.6639999999
2014,68.11,1051652.0
2015,67.0,1016176.5
2016,67.0,956969.7
2017,65.72,654254.8
2013,69.15,562549.092
2014,69.04,619314.5
2015,67.72,615633.8
2016,70.58,680787.8
2017,69.74,723046.7
2013,59.36,615150.755
2014,59.06,670853.2
2015,59.18,728097.3
2016,59.84,729863.4
2017,61.49,833587.1
2013,67.47,301546.2
2014,70.94,365659.8
2015,75.4,453914.5
2016,76.27,347510.6
2017,77.04,466325.5
2013,85.41,3972115.281
2014,83.8,4564831.2
2015,80.02,5613176.1
2016,87.01,5428909.3
2017,90.33,5646750.8
2013,74.35,1153340.295
2014,76.85,1350397.7
2015,74.22,1408575.7
2016,72.7,1568471.0
2017,75.17,1849888.8
2013,73.58,3970602.9549999996
2014,69.76,3431304.6
2015,73.65,4765636.4
2016,74.17,3725050.2
2017,75.88,3538917.9
2013,56.17,1423037.7
2014,53.85,1665315.9
2015,57.99,1610028.2
2016,58.33,1665359.9
2017,62.48,2130942.8
2013,80.06,7295739.6735
2014,76.22,7755290.2
2015,78.71,7171875.5
2016,78.08,7929772.0
2017,79.77,8219020.7
2013,65.5,390195.8775
2014,64.72,395945.5
2013,71.87,1839265.5199999998
2014,70.01,1008365.3
2015,71.7,1272863.1
2016,68.46,970711.1
2017,70.75,1169780.2
2013,84.73,1799336.0880000002
2014,74.23,1503684.2
2015,72.67,1467651.4
2016,72.53,1621886.2
2017,74.06,1825679.5
2013,82.48,1141731.45
2014,79.72,1235168.3
2015,81.82,1230659.0
2016,74.48,1569018.8
2017,75.3,1717088.3
2013,77.76,2458388.6064999998
2014,73.69,1771263.0
2015,75.56,1887241.5
2016,79.25,2111368.2
2017,80.76,2446247.7
2013,78.31,461546.208
2014,76.38,508477.9
2013,66.84,607281.6900000001
2014,62.5,656548.6
2013,72.66,2183217.333
2014,70.64,2439324.7
2015,74.34,3516137.1
2016,73.37,3105765.4
2017,74.26,3301201.1
2013,63.66,1876074.3720000002
2014,59.73,1982691.5
2015,64.13,1881808.0
2016,64.72,2531550.0
2017,64.74,2814217.0
2013,74.19,845640.5099999999
2014,71.57,780292.0
2013,81.24,766389.5599999999
2014,82.29,670153.0
2015,84.31,660260.3
2016,81.25,689161.6
2017,81.02,750616.7
2013,75.96,836214.925
2014,71.63,947828.7
2015,77.31,964094.5
2016,78.77,1058827.9
2017,80.85,1088092.4
2013,65.59,1314896.362
2014,61.33,1318679.2
2015,63.39,1177527.1
2016,63.23,1145996.6
2017,64.04,1390822.6
2013,68.99,2041764.6079999998
2014,65.64,2380019.7
2015,62.9,1933745.5
2016,65.69,2032951.7
2017,66.36,2034218.9
2013,56.18,1106912.905
2014,55.94,1515989.7
2015,59.6,1423225.5
2016,58.51,1153575.5
2017,59.21,1002645.0
2013,54.13,490773.044
2014,54.35,491207.0
2015,56.01,499147.7
2016,57.18,435900.9
2017,56.03,413661.5
2013,66.53,621733.5599999999
2014,53.1,678720.3
2015,53.01,573904.1
2016,54.82,541460.4
2017,52.41,519231.7
2013,67.73,3235505.353
2014,62.33,2821131.6
2015,66.93,2674455.8
2016,69.31,2765080.9
2017,69.16,2076387.1
2013,71.03,784918.8375
2014,58.71,829553.1
2015,60.49,608308.1
2016,63.26,510465.7
2017,63.37,551218.8
2013,63.8,611902.473
2014,65.47,719834.4
2015,64.38,670371.6
2016,54.88,634129.7
2017,54.94,727477.9
2013,68.57,557066.51
2014,65.69,575797.9
2015,63.26,579807.5
2016,66.02,565015.8
2017,65.15,586339.6
2013,67.29,1065206.7370000002
2014,61.9,1785841.4
2015,57.22,1718302.6
2016,59.65,2516650.6
2017,56.9,2623023.7
2013,57.61,687371.8985
2014,55.67,723442.5
2015,53.52,720226.7
2016,58.78,696589.2
2017,57.65,663416.7
2013,57.7,897677.202
2014,57.44,969657.4
2013,66.17,647836.9920000001
2014,66.13,503467.5
2015,65.73,493850.3
2016,69.83,429859.4
2017,69.05,426576.7
2013,66.56,529116.415
2014,65.02,512378.2
2015,66.51,515912.5
2016,65.83,487652.4
2017,66.56,457079.2
2014,64.29,1075565.8
2015,65.62,1013481.3
2016,65.7,1013893.8
2017,64.88,1043968.1
2013,63.03,829992.3450000001
2014,60.92,932451.7
2015,60.03,896857.4
2016,60.16,945229.5
2017,59.0,848528.9
2013,67.31,1088499.555
2014,65.82,1110554.2
2015,67.5,1122636.9
2016,66.75,1186109.4
2017,67.84,1324496.1
2013,57.95,666879.34
2014,55.25,684980.1
2015,59.09,671857.5
2016,58.88,637853.6
2017,59.01,644132.5
2013,67.52,1135435.687
2014,67.37,1203846.5
2015,67.52,1113891.2
2016,67.19,1038102.7
2017,66.82,1017514.0
2013,62.14,1565723.8219999997
2014,58.63,1649301.9
2015,60.5,1912346.6
2016,61.06,1829921.8
2017,62.77,1876606.3
2013,64.96,977274.144
2014,62.0,1006057.5
2015,61.19,991801.9
2016,61.09,1040980.1
2017,61.53,1184270.7
2013,56.71,923112.6170000001
2014,61.0,949189.8
2015,63.05,924923.7
2016,67.21,894266.4
2017,69.67,933801.1
2013,64.26,689578.0920000001
2014,66.09,621395.9
2015,71.02,654810.5
2016,69.6,697277.0
2017,68.4,683091.0
2013,70.45,4256979.576
2014,71.4,4901787.8
2015,73.74,5704293.8
2016,74.52,4403649.9
2017,78.26,4279534.9
2013,67.5,1740218.48
2014,65.77,1691987.6
2015,67.06,1796191.5
2016,68.03,1921937.8
2017,70.58,1913181.9
2013,78.88,6830238.484999999
2014,73.04,6633059.2
2015,75.77,7757869.9
2016,78.28,6019164.2
2017,78.43,5336328.0
2013,68.0,518334.345
2014,64.6,590982.5
2015,65.35,650488.1
2016,64.84,652184.1
2017,66.72,772221.1
2013,68.62,1696658.6160000002
2014,64.41,1859531.6
2015,64.79,1854256.5
2016,65.86,1867268.7
2017,66.47,2029255.7
2013,63.0,676399.392
2014,60.51,735108.1
2015,59.17,708647.6
2016,57.26,708353.3
2017,57.3,698694.7
2013,67.96,785245.53
2014,63.99,826517.5
2013,64.07,3073165.65
2014,58.97,3394504.9
2015,64.27,2935748.7
2016,64.6,3703813.7
2017,66.95,3608959.1
2013,74.03,2007125.4980000001
2014,71.17,2186554.8
2015,67.71,2343241.1
2016,73.47,2898558.8
2017,74.12,2985707.8
2013,65.73,1516458.9795
2014,65.26,1314559.8
2015,66.19,1282818.8
2016,66.14,1399294.7
2017,66.65,1489494.8
2013,65.09,619528.91
2014,63.15,552878.9
2015,67.21,577273.2
2016,68.05,583230.6
2017,69.38,640216.6
2013,61.29,770400.756
2014,60.15,766977.1
2015,61.24,649963.4
2016,63.02,663478.2
2017,65.06,721967.6
2013,66.07,1294734.2715
2014,63.16,1459202.4
2015,63.0,1266449.8
2016,63.74,1286750.4
2017,64.76,1376486.8
2013,76.12,391839.264
2014,74.89,475079.8
2015,76.63,408964.1
2016,75.97,390109.5
2017,77.7,413986.4
2013,92.4,786895.5650000001
2014,87.06,871106.8
2015,85.7,922051.7
2016,85.0,968480.8
2017,83.94,1092681.9
2013,60.91,818791.44
2014,56.82,855733.4
2015,58.52,907941.1
2016,59.53,864197.4
2017,58.75,886918.7
2013,55.38,702666.491
2014,55.54,704246.6
2015,54.53,708185.7
2016,53.16,635496.2
2017,53.69,650132.0
